Block,Lot,Address,Property Class,Square Footage,Acreage,Zoning District,Year Built
808,39,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
215,3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
228,6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
215,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
322,41,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
606,23,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
130,25,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
131,13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
628,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
326,27,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
809,36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
336,23,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
322,48,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
412,8,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
109,39,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
127,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
303,25,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
633,26,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
808,31,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
803,17,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
408,7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
341,5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
21,78,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
248,3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
620,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
335,16,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
821,8,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
504,20,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
760,6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
443,26,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
249,6.01,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
840,14,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
231,21,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
445,6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
502,27,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
903,5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
921,15.02,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
759,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
713,4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
618,13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
704,6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
836,13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
109,68,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
230,35,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
933,6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
623,8,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
218,12,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
316,20,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
405,6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
